Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Best_Companies,Number_of_employees,MarketCap_March31_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated
17,Phillips 66,PSX,Energy,Petroleum Refining,yes,no,no,no,12.0,yes,no,no,yes,no,13000,46727.0,175702,53.0,11024,737.1,76442,Mark E. Lashier,U.S.,Houston,TX,www.phillips66.com,Public,"Excise taxes have been deducted. Market value as of July 17, 2023.",45649.0,2023-08-02
18,Valero Energy,VLO,Energy,Petroleum Refining,yes,no,no,no,12.0,yes,no,no,yes,no,9743,51351.0,171189,58.0,11528,1139.6,60982,R. Lane Riggs,U.S.,San Antonio,TX,www.valero.com,Public,"Excise taxes have been deducted. Market value as of July 17, 2023.",41108.0,2023-08-02
19,Ford Motor,F,Motor Vehicles & Parts,Motor Vehicles & Parts,no,no,no,no,3.0,yes,no,no,yes,no,173000,50400.0,158057,15.9,-1981,-111.0,255884,James D. Farley Jr.,U.S.,Dearborn,MI,www.ford.com,Public,"Market value as of July 17, 2023.",56371.0,2023-08-02
20,Home Depot,HD,Retailing,Specialty Retailers: Other,yes,no,no,no,-3.0,no,yes,no,yes,no,471600,299534.0,157403,4.1,17105,4.1,76445,Edward P. Decker,U.S.,Atlanta,GA,www.homedepot.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",317749.0,2023-08-02
21,General Motors,GM,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,yes,yes,4.0,yes,no,no,yes,no,167000,51155.0,156735,23.4,9934,-0.8,264037,Mary T. Barra,U.S.,Detroit,MI,www.gm.com,Public,"Market value as of July 17, 2023.",53867.0,2023-08-02
22,Elevance Health,ELV,Health Care,Health Care: Insurance and Managed Care,yes,no,yes,yes,-2.0,no,yes,no,yes,yes,102300,109098.0,156595,13.0,6025,-1.3,102772,Gail K. Boudreaux,U.S.,Indianapolis,IN,www.elevancehealth.com,Public,"Market value as of July 17, 2023.",103634.0,2023-08-02
23,JPMorgan Chase,JPM,Financials,Commercial Banks,yes,no,no,yes,1.0,yes,no,no,yes,no,293723,383549.0,154792,21.7,37676,-22.1,3665743,James Dimon,U.S.,New York,NY,www.jpmorganchase.com,Public,"Market value as of July 17, 2023.",448221.0,2023-08-02
24,Kroger,KR,Food & Drug Stores,Food and Drug Stores,yes,no,no,yes,-3.0,no,yes,no,yes,no,430000,35421.0,148258,7.5,2244,35.6,49623,W. Rodney McMullen,U.S.,Cincinnati,OH,www.thekrogerco.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",33404.0,2023-08-02
25,Centene,CNC,Health Care,Health Care: Insurance and Managed Care,yes,no,yes,yes,1.0,yes,no,no,yes,no,74300,34810.0,144547,14.7,1202,-10.8,76870,Sarah M. London,U.S.,St. Louis,MO,www.centene.com,Public,"Market value as of July 17, 2023.",35708.0,2023-08-02
26,Verizon Communications,VZ,Telecommunications,Telecommunications,yes,no,no,no,-3.0,no,yes,no,yes,no,117100,163333.0,136835,2.4,21256,-3.7,379680,Hans E. Vestberg,U.S.,New York,NY,www.verizon.com,Public,"Market value as of July 17, 2023.",132258.0,2023-08-02
27,Walgreens Boots Alliance,WBA,Food & Drug Stores,Food and Drug Stores,yes,no,yes,yes,-9.0,no,yes,no,yes,no,262500,29836.0,132703,-10.7,4337,70.6,90124,Ginger Graham,U.S.,Deerfield,IL,www.walgreensbootsalliance.com,Public,"Figures are for fiscal year ended Aug. 31, 2022. Market value as of July 17, 2023.",25138.0,2023-08-02
28,Fannie Mae,FNMA,Financials,Diversified Financials,yes,no,yes,yes,5.0,yes,no,no,yes,no,8000,475.0,121596,19.7,12923,-41.7,4305288,Priscilla Almodovar,U.S.,Washington,DC,www.fanniemae.com,Public,"Company's senior preferred stock is owned by the U.S. Treasury, which also holds a warrant to purchase 79.9% of the common stock. Market value as of July 17, 2023.",2541.0,2023-08-02
29,Comcast,CMCSA,Telecommunications,Telecommunications,yes,no,no,no,-1.0,no,yes,no,yes,yes,186000,159831.0,121427,4.3,5370,-62.1,257275,Brian L. Roberts,U.S.,Philadelphia,PA,www.comcastcorporation.com,Public,"Market value as of July 17, 2023.",175466.0,2023-08-02
30,AT&T,T,Telecommunications,Telecommunications,no,no,no,no,-17.0,no,yes,no,yes,no,160700,137250.0,120741,-28.5,-8524,-142.4,402853,John T. Stankey,U.S.,Dallas,TX,www.att.com,Public,"Market value as of July 17, 2023.",96726.0,2023-08-02
31,Meta Platforms,META,Technology,Internet Services and Retailing,yes,yes,no,yes,-4.0,no,yes,no,yes,no,86482,549484.0,116609,-1.1,23200,-41.1,185727,Mark Zuckerberg,U.S.,Menlo Park,CA,investor.fb.com,Public,"Market value as of July 17, 2023.",796036.0,2023-08-02
32,Bank of America,BAC,Financials,Commercial Banks,yes,no,no,yes,4.0,yes,no,no,yes,yes,216823,228780.0,115053,22.6,27528,-13.9,3051375,Brian T. Moynihan,U.S.,Charlotte,NC,www.bankofamerica.com,Public,"Market value as of July 17, 2023.",234293.0,2023-08-02
33,Target,TGT,Retailing,General Merchandisers,yes,no,no,no,-1.0,no,yes,no,yes,yes,440000,76250.0,109120,2.9,2780,-60.0,53335,Brian C. Cornell,U.S.,Minneapolis,MN,www.target.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",60007.0,2023-08-02
34,Dell Technologies,DELL,Technology,"Computers, Office Equipment",yes,yes,no,no,-3.0,no,yes,no,yes,no,133000,29402.0,102301,-4.4,2442,-56.1,89611,Michael S. Dell,U.S.,Round Rock,TX,www.delltechnologies.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",39780.0,2023-08-02
35,Archer Daniels Midland,ADM,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,3.0,yes,no,no,yes,no,41181,43530.0,101556,19.1,4340,60.2,59774,Juan R. Luciano,U.S.,Chicago,IL,www.adm.com,Public,"Market value as of July 17, 2023.",43331.0,2023-08-02
36,Citigroup,C,Financials,Commercial Banks,yes,no,yes,yes,8.0,yes,no,no,yes,no,238104,91270.0,101078,26.6,14845,-32.4,2416676,Jane Fraser,U.S.,New York,NY,www.citigroup.com,Public,"Market value as of July 17, 2023.",89592.0,2023-08-02
37,United Parcel Service,UPS,Transportation,"Mail, Package, and Freight Delivery",yes,no,yes,yes,-3.0,no,yes,no,yes,no,404700,166189.0,100338,3.1,11548,-10.4,71124,Carol B. Tomé,U.S.,Atlanta,GA,www.ups.com,Public,"Market value as of July 17, 2023.",156953.0,2023-08-02
38,Pfizer,PFE,Health Care,Pharmaceuticals,yes,no,no,yes,5.0,yes,no,no,yes,no,83000,230292.0,100330,23.4,31372,42.7,197205,Albert Bourla,U.S.,New York,NY,www.pfizer.com,Public,"Market value as of July 17, 2023.",202441.0,2023-08-02
39,Lowe's,LOW,Retailing,Specialty Retailers: Other,yes,no,no,no,-4.0,no,yes,no,yes,no,244500,119253.0,97059,0.8,6437,-23.8,43708,Marvin R. Ellison,U.S.,Mooresville,NC,www.lowes.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",133586.0,2023-08-02
40,Johnson & Johnson,JNJ,Health Care,Pharmaceuticals,yes,no,no,yes,-3.0,no,yes,no,yes,no,152700,483576.0,94943,1.2,17941,-14.1,187378,Joaquin Duato,U.S.,New Brunswick,NJ,www.jnj.com,Public,"Market value as of July 17, 2023.",413381.0,2023-08-02
41,FedEx,FDX,Transportation,"Mail, Package, and Freight Delivery",yes,no,no,no,-2.0,no,yes,no,yes,no,464400,57431.0,93512,11.4,3826,-26.9,85994,Rajesh Subramaniam,U.S.,Memphis,TN,www.fedex.com,Public,"Figures are for fiscal year ended May 31, 2022. Market value as of July 17, 2023.",63985.0,2023-08-02
42,Humana,HUM,Health Care,Health Care: Insurance and Managed Care,yes,no,no,no,-2.0,no,yes,no,yes,no,67100,60719.0,92870,11.8,2806,-4.3,43055,Bruce D. Broussard,U.S.,Louisville,KY,www.humana.com,Public,"Market value as of July 17, 2023.",54277.0,2023-08-02
43,Energy Transfer,ET,Energy,Pipelines,yes,no,no,yes,11.0,yes,no,no,yes,no,12565,38590.0,89876,33.3,4756,-13.1,105643,Thomas E. Long/Marshall S. McCrea III,U.S.,Dallas,TX,www.energytransfer.com,Public,"A partnership. Market value as of July 17, 2023.",40742.0,2023-08-02
44,State Farm Insurance,,Financials,Insurance: Property and Casualty (Mutual),no,no,no,yes,-2.0,no,yes,no,yes,no,60519,,89328,8.6,-6654,-619.5,318243,Michael L. Tipsord,U.S.,Bloomington,IL,www.statefarm.com,Private,,,2023-08-02
45,Freddie Mac,FMCC,Financials,Diversified Financials,yes,no,no,yes,11.0,yes,no,no,yes,no,7819,266.0,86717,31.6,9327,-23.0,3208333,Michael J. DeVito,U.S.,McLean,VA,www.freddiemac.com,Public,"Company&#039;s senior preferred stock is owned by the U.S. Treasury, which also holds a warrant to purchase 79.9% of the common stock. Market value as of July 17, 2023.",1429.0,2023-08-02
46,PepsiCo,PEP,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,-1.0,no,yes,no,yes,no,315000,251085.0,86392,8.7,8910,17.0,92187,Ramon L. Laguarta,U.S.,Purchase,NY,www.pepsico.com,Public,"Market value as of July 17, 2023.",255535.0,2023-08-02
47,Wells Fargo,WFC,Financials,Commercial Banks,yes,no,no,no,-6.0,no,yes,no,yes,no,238000,141188.0,82859,0.5,13182,-38.8,1881016,Charles W. Scharf,U.S.,San Francisco,CA,www.wellsfargo.com,Public,"Market value as of July 17, 2023.",164093.0,2023-08-02
48,Walt Disney,DIS,Media,Entertainment,yes,no,no,yes,5.0,yes,no,no,yes,no,195800,182920.0,82722,22.7,3145,57.6,203631,Robert A. Iger,U.S.,Burbank,CA,www.thewaltdisneycompany.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",156344.0,2023-08-02
49,ConocoPhillips,COP,Energy,"Mining, Crude-Oil Production",yes,no,no,no,28.0,yes,no,no,yes,no,9500,120777.0,82156,69.9,18680,131.2,93829,Ryan M. Lance,U.S.,Houston,TX,www.conocophillips.com,Public,"Market value as of July 17, 2023.",128992.0,2023-08-02
50,Tesla,TSLA,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,yes,no,yes,15.0,yes,no,no,yes,no,127855,656425.0,81462,51.4,12556,127.5,82338,Elon Musk,U.S.,Austin,TX,www.tesla.com,Public,"Market value as of July 17, 2023.",920361.0,2023-08-02
51,Procter & Gamble,PG,Household Products,Household and Personal Products,yes,no,no,yes,-4.0,no,yes,no,yes,no,106000,350781.0,80187,5.3,14742,3.0,117208,Jon R. Moeller,U.S.,Cincinnati,OH,www.pg.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of July 17, 2023.",351165.0,2023-08-02
52,General Electric,GE,Industrials,Industrial Machinery,yes,no,no,yes,-4.0,no,yes,no,yes,no,172000,104231.0,76555,3.2,225,,187788,H. Lawrence Culp Jr.,U.S.,Boston,MA,www.ge.com,Public,"Market value as of July 17, 2023.",121027.0,2023-08-02
53,Albertsons,ACI,Food & Drug Stores,Food and Drug Stores,yes,no,no,no,-1.0,no,yes,no,yes,no,195750,11132.0,71887,3.2,1620,90.5,28123,Vivek Sankaran,U.S.,Boise,ID,www.albertsonscompanies.com,Public,"Figures are for fiscal year ended Feb. 28, 2023. Market value as of July 17, 2023.",12664.0,2023-08-02
54,MetLife,MET,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,-4.0,no,yes,no,yes,yes,45000,44867.0,69898,-1.7,2539,-61.3,666611,Michel A. Khalaf,U.S.,New York,NY,www.metlife.com,Public,"Market value as of July 17, 2023.",45183.0,2023-08-02
55,Goldman Sachs Group,GS,Financials,Commercial Banks,yes,no,no,yes,2.0,yes,no,no,yes,no,48500,113964.0,68711,5.7,11261,-48.0,1441799,David M. Solomon,U.S.,New York,NY,www.goldmansachs.com,Public,"Market value as of July 17, 2023.",113555.0,2023-08-02
56,Sysco,SYY,Wholesalers,Wholesalers: Food and Grocery,yes,no,no,yes,14.0,yes,no,no,yes,no,70510,39202.0,68636,33.8,1359,159.2,22086,Kevin P. Hourican,U.S.,Houston,TX,www.sysco.com,Public,"Figures are for fiscal year ended June 30, 2022. Market value as of July 17, 2023.",37196.0,2023-08-02
57,RTX,RTX,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,1.0,yes,no,no,yes,no,182000,143292.0,67074,4.2,5197,34.5,158864,Gregory J. Hayes,U.S.,Arlington,VA,www.rtx.com,Public,"Changed name from Raytheon Technologies, July 17, 2023. Market value as of July 17, 2023.",140737.0,2023-08-02
58,Boeing,BA,Aerospace & Defense,Aerospace & Defense,no,no,no,yes,2.0,yes,no,no,yes,no,156000,127283.0,66608,6.9,-4935,,137100,David L. Calhoun,U.S.,Arlington,VA,www.boeing.com,Public,"Market value as of July 17, 2023.",127460.0,2023-08-02
59,StoneX Group,SNEX,Financials,Diversified Financials,yes,no,no,yes,28.0,yes,no,no,yes,no,3615,2138.0,66036,55.3,207,78.1,19860,Sean M. O&#039;Connor,U.S.,New York,NY,www.stonex.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Company reports sale of physical commodities on a gross basis. Market value as of July 17, 2023.",1852.0,2023-08-02
60,Lockheed Martin,LMT,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,-5.0,no,yes,no,yes,no,116000,120319.0,65984,-1.6,5732,-9.2,52880,James D. Taiclet Jr.,U.S.,Bethesda,MD,www.lockheedmartin.com,Public,"Market value as of July 17, 2023.",119021.0,2023-08-02
61,Morgan Stanley,MS,Financials,Commercial Banks,yes,no,no,yes,0.0,no,no,no,yes,no,82427,147674.0,65936,7.9,11029,-26.6,1180231,James P. Gorman,U.S.,New York,NY,www.morganstanley.com,Public,"Market value as of July 17, 2023.",144248.0,2023-08-02
62,Intel,INTC,Technology,Semiconductors and Other Electronic Components,yes,no,no,yes,-16.0,no,yes,no,yes,no,131900,136268.0,63054,-20.2,8014,-59.7,182103,Patrick P. Gelsinger,U.S.,Santa Clara,CA,www.intel.com,Public,"Market value as of July 17, 2023.",143357.0,2023-08-02
63,HP,HPQ,Technology,"Computers, Office Equipment",yes,no,no,yes,-4.0,no,yes,no,yes,yes,58000,28919.0,62983,-0.8,3203,-50.7,38587,Enrique J. Lores,U.S.,Palo Alto,CA,www.hp.com,Public,"Figures are for fiscal year ended Oct. 31, 2022. Market value as of July 17, 2023.",32359.0,2023-08-02
64,TD Synnex,SNX,Wholesalers,Wholesalers: Electronics and Office Equipment,yes,no,no,yes,45.0,yes,no,no,yes,no,28500,9061.0,62344,97.2,651,64.9,29734,Richard T. Hume,U.S.,Fremont,CA,www.tdsynnex.com,Public,"Figures are for fiscal year ended Nov. 30, 2022. Market value as of July 17, 2023.",9199.0,2023-08-02
65,IBM,IBM,Technology,Information Technology Services,yes,no,no,yes,-16.0,no,yes,no,yes,no,303100,118913.0,60530,-16.3,1639,-71.5,127243,Arvind Krishna,U.S.,Armonk,NY,www.ibm.com,Public,"Market value as of July 17, 2023.",121896.0,2023-08-02
66,HCA Healthcare,HCA,Health Care,Health Care: Medical Facilities,yes,no,no,yes,-4.0,no,yes,no,yes,no,250500,73107.0,60233,2.5,5643,-18.9,52438,Samuel N. Hazen,U.S.,Nashville,TN,www.hcahealthcare.com,Public,"Market value as of July 17, 2023.",80317.0,2023-08-02
67,Prudential Financial,PRU,Financials,"Insurance: Life, Health (stock)",no,no,no,no,-16.0,no,yes,no,yes,no,39583,30363.0,60050,-15.3,-1438,-118.6,689917,Charles F. Lowrey,U.S.,Newark,NJ,www.prudential.com,Public,"Market value as of July 17, 2023.",33763.0,2023-08-02
68,Caterpillar,CAT,Industrials,Construction and Farm Machinery,yes,no,no,yes,5.0,yes,no,no,yes,no,109100,118161.0,59427,16.6,6705,3.3,81943,D. James Umpleby III,U.S.,Irving,TX,www.caterpillar.com,Public,"Market value as of July 17, 2023.",132683.0,2023-08-02
69,Merck,MRK,Health Care,Pharmaceuticals,yes,no,no,yes,2.0,yes,no,no,yes,yes,68000,270081.0,59283,15.8,14519,11.3,109160,Robert M. Davis,U.S.,Rahway,NJ,www.merck.com,Public,"Market value as of July 17, 2023.",267877.0,2023-08-02
70,World Kinect,WKC,Energy,Energy,yes,no,no,yes,41.0,yes,no,no,yes,no,5214,1585.0,59043,88.4,114,54.8,8165,Michael J. Kasbar,U.S.,Miami,FL,www.world-kinect.com,Public,"Changed name from World Fuel Services, June 16, 2023. Market value as of July 17, 2023.",1377.0,2023-08-02
71,New York Life Insurance,,Financials,"Insurance: Life, Health (Mutual)",no,no,no,yes,1.0,yes,no,no,yes,no,15050,,58445,14.2,-1127,-506.6,392126,Craig DeSanto,U.S.,New York,NY,www.newyorklife.com,Private,,,2023-08-02
72,Enterprise Products Partners,EPD,Energy,Pipelines,yes,no,no,yes,17.0,yes,no,no,yes,no,7300,56224.0,58186,42.6,5490,18.4,68108,A. James Teague/W. Randall Fowler,U.S.,Houston,TX,www.enterpriseproducts.com,Public,"A partnership. Market value as of July 17, 2023.",58016.0,2023-08-02
73,AbbVie,ABBV,Health Care,Pharmaceuticals,yes,no,no,no,-10.0,no,yes,no,yes,yes,50000,281151.0,58054,3.3,11836,2.5,138805,Richard A. Gonzalez,U.S.,North Chicago,IL,www.abbvie.com,Public,"Market value as of July 17, 2023.",237879.0,2023-08-02
74,Plains GP Holdings,PAGP,Energy,Pipelines,yes,no,no,no,14.0,yes,no,no,yes,no,4100,2551.0,57342,36.3,168,180.0,29207,Wilfred C.W. Chiang,U.S.,Houston,TX,www.plains.com,Public,"A partnership. Market value as of July 17, 2023.",2953.0,2023-08-02
75,Dow,DOW,Chemicals,Chemicals,yes,no,no,yes,-11.0,no,yes,no,yes,yes,37800,38812.0,56902,3.5,4582,-27.4,60603,James R. Fitterling,U.S.,Midland,MI,www.dow.com,Public,"Market value as of July 17, 2023.",37120.0,2023-08-02
76,American International Group,AIG,Financials,Insurance: Property and Casualty (Stock),yes,no,no,no,-9.0,no,yes,no,yes,no,26200,36948.0,56437,8.4,10276,9.5,526634,Peter S. Zaffino,U.S.,New York,NY,www.aig.com,Public,"Market value as of July 17, 2023.",42774.0,2023-08-02
77,American Express,AXP,Financials,Diversified Financials,yes,no,no,yes,8.0,yes,no,no,yes,yes,77300,122734.0,55625,27.4,7514,-6.8,228354,Stephen J. Squeri,U.S.,New York,NY,www.americanexpress.com,Public,"Market value as of July 17, 2023.",130357.0,2023-08-02
78,Publix Super Markets,,Food & Drug Stores,Food and Drug Stores,yes,no,no,yes,-2.0,no,yes,no,yes,yes,242000,,54942,13.5,2918,-33.9,31047,Randall T. Jones Sr.,U.S.,Lakeland,FL,www.publix.com,Private,,,2023-08-02
79,Charter Communications,CHTR,Telecommunications,Telecommunications,yes,no,no,yes,-10.0,no,yes,no,yes,no,101700,60477.0,54022,4.5,5055,8.6,144523,Christopher L. Winfrey,U.S.,Stamford,CT,www.charter.com,Public,"Market value as of July 17, 2023.",65666.0,2023-08-02
80,Tyson Foods,TSN,"Food, Beverages & Tobacco",Food Production,yes,no,no,yes,1.0,yes,no,no,yes,no,142000,21096.0,53282,13.2,3238,6.3,36821,Donnie D. King,U.S.,Springdale,AR,www.tysonfoods.com,Public,"Figures are for fiscal year ended Sept. 30, 2022. Market value as of July 17, 2023.",18449.0,2023-08-02
81,Deere,DE,Industrials,Construction and Farm Machinery,yes,no,no,yes,3.0,yes,no,no,yes,no,82239,122346.0,52577,19.4,7131,19.6,90030,John C. May,U.S.,Moline,IL,www.deere.com,Public,"Figures are for fiscal year ended Oct. 31, 2022. Market value as of July 17, 2023.",123317.0,2023-08-02
82,Cisco Systems,CSCO,Technology,Network and Other Communications Equipment,yes,no,no,yes,-8.0,no,yes,no,yes,yes,83300,214109.0,51557,3.5,11812,11.5,94002,Charles H. Robbins,U.S.,San Jose,CA,www.cisco.com,Public,"Figures are for fiscal year ended July 31, 2022. Market value as of July 17, 2023.",207054.0,2023-08-02
83,Nationwide,,Financials,Insurance: Property and Casualty (Mutual),yes,no,no,yes,-3.0,no,yes,no,yes,yes,24791,,51450,8.6,988,-38.9,264511,Kirt A. Walker,U.S.,Columbus,OH,www.nationwide.com,Private,,,2023-08-02
84,Allstate,ALL,Financials,Insurance: Property and Casualty (Stock),no,no,no,no,-18.0,no,yes,no,yes,no,54250,29180.0,51412,-3.4,-1311,-182.0,97957,Thomas J. Wilson,U.S.,Northbrook,IL,www.allstate.com,Public,"Market value as of July 17, 2023.",26919.0,2023-08-02
85,Delta Air Lines,DAL,Transportation,Airlines,yes,no,no,yes,28.0,yes,no,no,yes,no,95000,22392.0,50582,69.2,1318,370.7,72288,Edward H. Bastian,U.S.,Atlanta,GA,www.delta.com,Public,"Market value as of July 17, 2023.",30112.0,2023-08-02
86,Liberty Mutual Insurance Group,,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,-8.0,no,yes,no,yes,no,50000,,49956,3.6,414,-86.5,160316,Timothy M. Sweeney,U.S.,Boston,MA,www.libertymutual.com,Private,,,2023-08-02
87,TJX,TJX,Retailing,Specialty Retailers: Apparel,yes,no,no,no,-12.0,no,yes,no,yes,no,329000,90315.0,49936,2.9,3498,6.6,28349,Ernie L. Herrman,U.S.,Framingham,MA,www.tjx.com,Public,"Figures are for fiscal year ended Jan. 31, 2023. Market value as of July 17, 2023.",97800.0,2023-08-02
88,Progressive,PGR,Financials,Insurance: Property and Casualty (Stock),yes,no,yes,yes,-9.0,no,yes,no,yes,yes,55063,83743.0,49611,4.0,722,-78.5,75465,Susan Patricia Griffith,U.S.,Mayfield Village,OH,www.progressive.com,Public,"Market value as of July 17, 2023.",71377.0,2023-08-02
89,American Airlines Group,AAL,Transportation,Airlines,yes,no,no,yes,25.0,yes,no,no,yes,no,129700,9629.0,48971,63.9,127,,64716,Robert D. Isom,U.S.,Fort Worth,TX,www.aa.com,Public,"Market value as of July 17, 2023.",11869.0,2023-08-02
